auctionNo;auctionUniqueId;organization;auctionId;auctionStart;auctionEnd;auctionName;auctionVal;comparativePrice;winnerOffer;currency;invitationsCount;registeredParticipantsCount;activeParticipantsCount;winner;auctionType;category;subcategory;itemsCount;offerChangesCount;extensionsCount;country;percentageReductionMinStep;savingComparison
46;1072-6-696;6;696;1.12.2017 12:00;6.12.2017 11:26;Výběrové řízení;Jednotlivé položky;0;3193710;CZK;12;26;26;2945;ERMMA;Hutní materiál, kovy a slitiny;Tyče a dráty;11;716;333;;0,1;0
47;1104-50-1878;50;1878;6.12.2017 9:00;6.12.2017 14:00;Export Velká Bí;Celková nabídka účastníka;1248;906,4;EUR;5;10;10;7862;poptavka;Dopravní služby, auto-moto a příslušenství;Nákladní automobily;1;19;0;;0,1;0,273717949
48;1119-55-2138;55;2138;14.11.2017 9:30;7.12.2017 12:02;Manipulační tec;Celková nabídka účastníka;0;244530;CZK;7;17;17;5127;ERMMA;Stroje, zařízení, nástroje, nářadí;Manipulační technika, vozíky;17;564;216;;0,1;0
49;1423-2-105;2;105;1.12.2017 9:30;8.12.2017 10:30;Wykonanie insta;Celková nabídka účastníka;0;123518,583;PLN;14;9;9;89;poptavka;Elektro, elektromateriál;Elektroinstalační práce;1;94;0;;0,1;0
50;1474-2-105;2;105;1.12.2017 9:30;8.12.2017 10:30;Wykonanie insta;Celková nabídka účastníka;0;117463,7505;PLN;15;9;9;89;poptavka;Elektro, elektromateriál;Elektroinstalační práce;1;94;0;;0,1;0
51;1108-56-1898;56;1898;5.12.2017 15:00;8.12.2017 13:30;Party stan nůžk;Celková nabídka účastníka;0;17678,64;CZK;13;8;8;9396;poptavka;Marketing, reklama a tisk;Reklamní činnost, reklamní předměty;1;25;0;;0,1;0
52;1072-6-699;6;699;11.12.2017 11:00;13.12.2017 10:15;Výběrové řízení;Jednotlivé položky;0;1209600;CZK;21;17;17;168;ERMMA;Odpadové hospodářství;Šrot a kovový odpad;5;198;1;;0,1;0
53;1152-129-3100;129;3100;12.12.2017 14:00;13.12.2017 11:53;Feroslitiny  12;Jednotlivé položky;314282,4;119034;EUR;10;28;28;12773;ERMMA;Hutní materiál, kovy a slitiny;Kovy, slitiny, nerez a odlitky;5;489;19;;0;0,62125146
54;1072-6-700;6;700;13.12.2017 9:30;13.12.2017 12:20;Výběrové řízení;Jednotlivé položky;0;109760;CZK;9;20;20;459;ERMMA;Hutní materiál, kovy a slitiny;Kovy, slitiny, nerez a odlitky;6;69;29;;0,1;0
55;84-74-2681;74;2681;9.11.2017 15:15;14.12.2017 8:00;Oprava podavačů;Celková nabídka účastníka;0;45475,5;CZK;6;22;22;5636;poptavka;Stroje, zařízení, nástroje, nářadí;Dopravníkové pásy, drtící stroje;6;135;0;Česká republika;0,1;0
56;84-74-2682;74;2682;9.11.2017 15:30;14.12.2017 8:30;Dodávka  hranol;Celková nabídka účastníka;0;164000;CZK;8;22;22;6632;poptavka;Stroje, zařízení, nástroje, nářadí;Dopravníkové pásy, drtící stroje;9;197;0;Česká republika;0,1;0
57;84-74-2683;74;2683;10.11.2017 7:30;14.12.2017 9:00;Oprava na třídi;Celková nabídka účastníka;0;139740;CZK;3;19;19;6632;poptavka;Stroje, zařízení, nástroje, nářadí;Opravy a údržba;6;102;0;Česká republika;0,1;0
58;84-74-2684;74;2684;10.11.2017 8:00;14.12.2017 9:30;Oprava přesypů ;Celková nabídka účastníka;0;64480;CZK;6;24;24;5636;poptavka;Stroje, zařízení, nástroje, nářadí;Opravy a údržba;5;118;0;Česká republika;0,1;0
59;80-2-2473;2;2473;21.11.2017 9:30;14.12.2017 10:12;Materiál pro vý;Celková nabídka účastníka;2621080,74;2031515,15;CZK;16;39;39;2680;ERMMA;Stroje, zařízení, nástroje, nářadí;Opravy a údržba;12;266;11;Česká republika;0;0,224932251
60;80-8-2514;8;2514;13.12.2017 7:00;14.12.2017 10:22;Ersatzneubau Ei;Celková nabídka účastníka;0;112350;EUR;1;17;17;4027;holland;Stavebnictví;Vodohospodářské stavby;1;93;22;DE;0;0
61;207-108-1073;108;1073;12.12.2017 13:30;14.12.2017 11:18;Aukce P2017050 ;Multikriteriální hodnocení;2079862,633;2044412,4;CZK;5;9;9;3712;ERMMA;Stroje, zařízení, nástroje, nářadí;Spojovací materiál;88;499;9;CZ;0;0,017044507
62;1105-60-2298;60;2298;11.12.2017 9:00;14.12.2017 12:00;Jerábový el.mot;Jednotlivé položky;0;100470;CZK;18;19;19;6125;poptavka;Elektro, elektromateriál;Batérie, akumulátory, generátory a elektromotory;1;137;0;;0,1;0
63;154-52-6733;52;6733;14.12.2017 9:00;14.12.2017 12:30;Ghlin (7011) Be;Celková nabídka účastníka;0;75,75;EUR;51;6;6;4683;poptavka;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;1;16;0;;0;0
64;1460-4-100;4;100;6.12.2017 11:00;14.12.2017 14:40;Kartonové obaly;Jednotlivé položky;5461021,44;2590676;CZK;12;6;6;102;ERMMA;Obaly;Kartonové obaly;8;475;10;;0,1;0,525605964
65;1474-4-100;4;100;6.12.2017 11:00;14.12.2017 14:40;Kartonové obaly;Jednotlivé položky;5517907,08;2537260;CZK;11;6;6;102;ERMMA;Obaly;Kartonové obaly;8;475;10;;0,1;0,540177106
66;80-2-2486;2;2486;29.11.2017 8:30;15.12.2017 8:54;Dodávka materiá;Celková nabídka účastníka;217800;201960;CZK;17;43;43;2424;ERMMA;Stroje, zařízení, nástroje, nářadí;Náhradní díly;1;302;2;Česká republika;0;0,072727273
67;344-121-3564;121;3564;1.12.2017 9:00;15.12.2017 9:27;Spojovací mater;Multikriteriální hodnocení;0;2149728;CZK;6;20;20;7564;ERMMA;Stroje, zařízení, nástroje, nářadí;Spojovací materiál;19;229;6;Česká republika;0;0
68;677-117-4379;117;4379;13.12.2017 8:00;15.12.2017 10:10;Wykonanie zabud;Celková nabídka účastníka;15300;12610;PLN;5;3;3;10466;ERMMA;Stavebnictví;Stavební úpravy potrubí a plynovodů;1;10;0;PL;0,1;0,175816993
69;509-35-951;35;951;11.12.2017 15:00;15.12.2017 10:14;Hutní materiál,;Jednotlivé položky;0;2034,054;CZK;13;15;15;2927;ERMMA;Hutní materiál, kovy a slitiny;Roury, armatury a trubky;155;343;7;Česká republika;1;0
70;468-1-428;1;428;4.12.2017 10:00;15.12.2017 10:34;Tlač a zasielan;Jednotlivé položky;0;0,945642;EUR;2;7;7;2223;ERMMA;Marketing, reklama a tisk;Tisk, tiskařské služby;6;98;7;Slovenská republika;0,5;0
71;259-6-449;6;449;22.11.2017 14:00;15.12.2017 11:00;9082/51-17- Opr;Celková nabídka účastníka;0;4905560,046;CZK;7;15;15;456;poptavka;Stavebnictví;Vodohospodářské stavby;3;48;0;Česká republika;0,1;0
72;1105-60-2301;60;2301;13.12.2017 15:30;15.12.2017 12:00;Plechy a ostatn;Jednotlivé položky;100127,8782;12153,6;CZK;36;23;23;7116;poptavka;Hutní materiál, kovy a slitiny;Plechy;13;108;0;;0;0,87861922
73;1105-60-2300;60;2300;13.12.2017 10:00;15.12.2017 12:00;komunální nářad;Jednotlivé položky;0;11552,1;CZK;16;22;22;5561;poptavka;Stroje, zařízení, nástroje, nářadí;Nářadí a nástroje;7;151;0;;0,1;0
74;154-52-6739;52;6739;15.12.2017 10:32;18.12.2017 9:01;Poptávka přepra;Celková nabídka účastníka;0;1039,5;EUR;52;9;9;5024;poptavka;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;1;117;1;Česká republika;0;0
75;1105-60-2296;60;2296;14.12.2017 11:12;18.12.2017 10:00;Výpalky ;Jednotlivé položky;41857,92;36516;CZK;30;27;27;5957;poptavka;Hutní materiál, kovy a slitiny;Plechy;3;183;0;;0;0,127620293
76;1105-60-2302;60;2302;13.12.2017 16:00;18.12.2017 10:00;Tyč kruhová pr.;Jednotlivé položky;1015245;1989120;CZK;200;9;9;7219;poptavka;Hutní materiál, kovy a slitiny;Tyče a dráty;4;100;0;;0;-0,959251215
77;80-3-2521;3;2521;14.12.2017 12:00;18.12.2017 10:20;Těleso NT vstři;Celková nabídka účastníka;0;91180;CZK;3;31;31;4289;poptavka;Stroje, zařízení, nástroje, nářadí;Náhradní díly;1;148;5;Česká republika;0,1;0
78;80-2-2484;2;2484;1.12.2017 13:00;18.12.2017 12:00;Instalace nové ;Celková nabídka účastníka;297000;42221,8;CZK;11;45;45;3610;ERMMA;Stroje, zařízení, nástroje, nářadí;Řídící a automatické systémy;1;809;20;Česká republika;0;0,857839057
79;100-45-1393;45;1393;4.12.2017 9:30;18.12.2017 13:30;Ocelové pásky v;Jednotlivé položky;54274,41;2106;EUR;10;11;11;2976;ERMMA;Hutní materiál, kovy a slitiny;Plechy;10;115;28;Česká republika;0;0,961197183
80;80-3-2351;3;2351;18.8.2017 7:00;18.12.2017 14:43;P024 - Dodávky ;Celková nabídka účastníka;0;112775,73;CZK;11;29;29;4550;poptavka;Stroje, zařízení, nástroje, nářadí;Oleje a maziva;9;325;74;Česká republika;0;0
81;388-122-3456;122;3456;15.12.2017 9:00;19.12.2017 11:28;Odprodej šrotu ;Celková nabídka účastníka;0;-2469683,7;CZK;9;21;21;7595;ERMMA;Odpadové hospodářství;Šrot a kovový odpad;3;205;4;Česká republika;0,1;0
82;1105-60-2304;60;2304;19.12.2017 11:30;20.12.2017 8:00;Silniční doprav;Celková nabídka účastníka;0;39501;CZK;19;17;17;8956;poptavka;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;1;90;0;;0;0
83;84-74-2704;74;2704;14.12.2017 10:25;20.12.2017 8:17;Dodávka filtrač;Celková nabídka účastníka;0;70464;CZK;4;21;21;6680;ERMMA;Stroje, zařízení, nástroje, nářadí;Náhradní díly;3;101;1;Česká republika;0,1;0
84;80-2-2505;2;2505;8.12.2017 7:00;20.12.2017 9:36;Výměna průchode;Celková nabídka účastníka;2818995,48;2606100;CZK;9;25;25;2987;ERMMA;Elektro, elektromateriál;Opravy a náhradní díly;1;191;8;Česká republika;0;0,075521753
85;1104-50-1879;50;1879;15.12.2017 11:00;20.12.2017 11:00;Nákup PC stanic;Celková nabídka účastníka;0;637850;CZK;17;13;13;7837;poptavka;Počítače, IT a telekomunikační služby;Hardware a příslušenství;2;28;0;;0;0
86;154-52-6740;52;6740;20.12.2017 8:30;20.12.2017 14:00;Borken (46325) ;Celková nabídka účastníka;0;672;EUR;52;8;8;5049;poptavka;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;1;11;0;;0;0
87;148-88-5189;88;5189;19.12.2017 8:30;21.12.2017 10:00;41091 - spojova;Celková nabídka účastníka;0;17929,7475;CZK;4;8;8;6608;poptavka;Stroje, zařízení, nástroje, nářadí;Spojovací materiál;32;169;0;Česká republika;0,1;0
88;1474-3-135;3;135;13.12.2017 10:00;21.12.2017 12:22;Dodávky brzdové;Celková nabídka účastníka;264600;245356,72;CZK;8;7;7;120;ERMMA;Dopravní služby, auto-moto a příslušenství;Servis, opravy, náhradní díly a příslušenství;9;88;1;;0,1;0,072725926
89;148-88-5190;88;5190;19.12.2017 10:00;22.12.2017 10:00;41094 - spojova;Celková nabídka účastníka;0;11402,286;CZK;5;7;7;7556;poptavka;Stroje, zařízení, nástroje, nářadí;Spojovací materiál;31;130;0;Česká republika;0,1;0
90;691-137-4554;137;4554;27.11.2017 7:00;22.12.2017 12:00;OCELOVÉ KONSTRU;Celková nabídka účastníka;120788325;110042249,8;CZK;20;3;3;11909;poptavka;Hutní materiál, kovy a slitiny;Kovovýroba a povrchová úprava kovů;2;7;0;Česká republika;0,1;0,088966175
91;148-88-5191;88;5191;19.12.2017 13:00;28.12.2017 10:00;41106 , 41107 -;Celková nabídka účastníka;0;0;CZK;7;3;3;0;poptavka;Stroje, zařízení, nástroje, nářadí;Spojovací materiál;34;95;0;Česká republika;0,1;0
92;1105-60-2306;60;2306;2.1.2018 13:30;3.1.2018 10:00;Silniční doprav;Celková nabídka účastníka;84804,3;90240;CZK;21;20;20;8956;poptavka;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;3;80;0;;0;-0,064096986
93;148-88-5193;88;5193;2.1.2018 12:00;4.1.2018 12:00;41142 - spojova;Celková nabídka účastníka;0;22738,368;CZK;3;6;6;6606;poptavka;Stroje, zařízení, nástroje, nářadí;Spojovací materiál;18;68;0;Česká republika;0,1;0
94;148-88-5194;88;5194;4.1.2018 9:00;5.1.2018 9:00;Tyče U (Granula;Jednotlivé položky;0;32000;CZK;10;12;12;7752;poptavka;Hutní materiál, kovy a slitiny;Tyče a dráty;2;21;0;Česká republika;0,1;0
95;154-52-6741;52;6741;4.1.2018 12:00;5.1.2018 10:00;Poptávka přepra;Celková nabídka účastníka;0;921,5;EUR;53;7;7;4683;poptavka;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;1;11;0;Česká republika;0;0
96;1072-6-702;6;702;4.1.2018 10:00;5.1.2018 10:29;Výběrové řízení;Celková nabídka účastníka;0;345562,5;CZK;4;18;18;167;ERMMA;Odpadové hospodářství;Šrot a kovový odpad;2;57;22;;0,1;0
97;154-52-6742;52;6742;4.1.2018 13:00;5.1.2018 13:15;Borken (46325) ;Celková nabídka účastníka;0;1045;EUR;54;12;12;5026;poptavka;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;1;15;0;;0;0
98;154-52-6743;52;6743;5.1.2018 9:30;5.1.2018 14:00;Borken (46325) ;Celková nabídka účastníka;0;898,9;EUR;55;6;6;5026;poptavka;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;1;15;0;;0;0
99;1105-60-2308;60;2308;2.1.2018 15:00;5.1.2018 14:00;Plochá ocel, ko;Jednotlivé položky;1201725,342;3932,54;CZK;16;27;27;5873;poptavka;Hutní materiál, kovy a slitiny;Tyče a dráty;5;762;0;;0,1;0,996727588
100;1105-60-2307;60;2307;2.1.2018 14:00;5.1.2018 14:00;Trubky;Jednotlivé položky;22725;8164,8;CZK;19;26;26;7120;poptavka;Hutní materiál, kovy a slitiny;Roury, armatury a trubky;3;204;0;;0;0,640712871
101;148-88-5195;88;5195;5.1.2018 8:00;8.1.2018 6:30;plech tlustý hl;Celková nabídka účastníka;0;56134;CZK;6;11;11;6617;poptavka;Hutní materiál, kovy a slitiny;Plechy;4;29;0;Česká republika;0,1;0
102;1105-60-2309;60;2309;3.1.2018 12:30;8.1.2018 8:00;Čerpadlo WILO;Jednotlivé položky;0;9100;CZK;12;23;23;7202;poptavka;Stroje, zařízení, nástroje, nářadí;Čerpadla a kompresory;1;162;0;;0,1;0
103;1152-129-3101;129;3101;5.1.2018 13:30;8.1.2018 10:55;Feroslitiny led;Jednotlivé položky;27173,76;5575,2;EUR;11;36;36;13139;ERMMA;Hutní materiál, kovy a slitiny;Kovy, slitiny, nerez a odlitky;2;418;5;;0;0,794831484
104;1072-6-701;6;701;3.1.2018 14:00;8.1.2018 11:32;Výběrové řízení;Jednotlivé položky;0;4241350;CZK;15;23;23;2945;ERMMA;Hutní materiál, kovy a slitiny;Tyče a dráty;14;381;155;;0,1;0
105;148-88-5196;88;5196;5.1.2018 8:30;8.1.2018 12:00;Vodič CU - skla;Celková nabídka účastníka;0;47614;CZK;1;8;8;7792;poptavka;Elektro, elektromateriál;Vodiče, rozvaděče a kabely;1;10;0;Česká republika;0,1;0
106;677-117-4385;117;4385;21.12.2017 10:00;9.1.2018 10:10;Opracowanie dok;Celková nabídka účastníka;10000;27550;PLN;3;3;3;10198;ERMMA;Inženýrská činnost;Projektová a schvalovací dokumentace ke stavební činnosti;1;12;0;PL;0,1;-1,755
107;1130-100-2621;100;2621;8.1.2018 10:00;9.1.2018 10:12;Blachy, Pręty i;Jednotlivé položky;0;10404;PLN;22;36;36;11673;ERMMA;Hutní materiál, kovy a slitiny;Plechy;9;559;1;;0,1;0
108;346-34-504;34;504;3.1.2018 13:00;9.1.2018 10:48;Spojovací mater;Jednotlivé položky;685368,95;218045;CZK;14;29;29;3429;ERMMA;Stroje, zařízení, nástroje, nářadí;Spojovací materiál;74;1284;9;;0,1;0,681857487
